City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,dudinka,69.4058,86.1778,-8.51,96,100,1.34,RU,1698223150
67,prienai,54.6333,23.95,7.15,83,100,7.4,LT,1698223151
68,wailua homesteads,22.0669,-159.378,22.24,84,0,2.57,US,1698222994
69,sakakah,29.9697,40.2064,25.76,35,0,1.78,SA,1698223153
70,grand falls-windsor,48.9332,-55.6649,4.17,91,91,3.64,CA,1698222886
71,ketchikan,55.3422,-131.6461,3.99,69,0,4.12,US,1698223155
72,kerikeri,-35.2268,173.9474,15.51,87,62,2.03,NZ,1698223156
73,nova xavantina,-14.6667,-52.35,25.71,53,100,1.06,BR,1698223157
74,mikhaylovskoye,51.8239,79.7172,11.89,34,100,7.61,RU,1698223158
75,margate,51.3813,1.3862,13.16,83,100,0.89,GB,1698223061
76,stepnogorsk,52.3544,71.8869,9.19,43,100,10.52,KZ,1698223160
77,inhambane,-23.865,35.3833,23.84,79,100,8.08,MZ,1698223161
78,georgetown,5.4112,100.3354,30.96,73,40,5.36,MY,1698223162
79,hasaki,35.7333,140.8333,20.22,67,99,3.9,JP,1698223163
80,la passe,45.5549,-0.8967,16.68,85,74,11.64,FR,1698223164
81,oranjestad,12.524,-70.027,27.97,86,20,4.63,AW,1698223165
82,iskateley,67.6803,53.1512,-0.55,96,100,6.71,RU,1698223167
83,tiksi,71.6872,128.8694,-19.24,99,20,3.74,RU,1698223069
84,al kharijah,25.4514,30.5464,31.21,27,0,4.17,EG,1698223169
85,hammerfest,70.6634,23.6821,-2.75,68,0,2.57,NO,1698223170
86,fort mcmurray,56.7268,-111.381,-5.23,63,100,3.09,CA,1698223171
87,chibougamau,49.9168,-74.3659,6.79,100,100,2.06,CA,1698223172
88,lionel town,17.8101,-77.2406,28.94,89,55,2.14,JM,1698223173
89,illizi,26.4833,8.4667,29.89,13,96,1.48,DZ,1698223174
90,jiayuguan,39.8167,98.3,15.15,20,5,2.39,CN,1698223158
91,hutchinson,38.0608,-97.9298,20.97,93,100,2.06,US,1698223176
92,vadso,70.0744,29.7487,-1.91,74,0,4.63,NO,1698223177
93,hamilton,39.1834,-84.5333,18.27,61,75,5.14,US,1698223007
94,lebu,-37.6167,-73.65,8.25,91,15,7.33,CL,1698223007
95,as sulayyil,20.4607,45.5779,31.14,27,3,5.63,SA,1698223180
96,margaret river,-33.95,115.0667,21.89,48,56,3.97,AU,1698222884
97,menongue,-14.6585,17.691,30.47,33,71,2.14,AO,1698223182
98,machali,-34.1833,-70.6667,10.96,60,100,1.1,CL,1698223183
99,tura,25.5198,90.2201,26.25,79,13,0.42,IN,1698223184
100,luderitz,-26.6481,15.1594,25.39,44,0,5.76,NA,1698223186
101,san pedro pochutla,15.7333,-96.4667,23.62,85,91,1.47,MX,1698223188
102,santarem,-2.4431,-54.7083,27.07,89,0,2.57,BR,1698223182
103,lihue,21.9789,-159.3672,22.58,85,0,2.57,US,1698223191
104,hermanus,-34.4187,19.2345,19.21,60,34,3.34,ZA,1698223192
105,bethel,41.3712,-73.414,11.94,83,0,0.0,US,1698223193
106,nova sintra,14.8667,-24.7167,24.42,71,2,6.17,CV,1698223194
107,manokwari,-0.8667,134.0833,27.05,83,91,1.81,ID,1698223195
108,port saint john's,-31.6229,29.5448,21.54,55,0,3.92,ZA,1698223196
109,albany,42.6001,-73.9662,10.33,86,1,1.47,US,1698223004
110,puerto baquerizo moreno,-0.9,-89.6,23.67,84,79,4.31,EC,1698223198
111,sao jose da coroa grande,-8.8978,-35.1478,25.46,70,91,3.06,BR,1698223199
112,emerald,-23.5333,148.1667,33.52,26,0,4.54,AU,1698223034
113,luanda,-8.8368,13.2343,25.9,74,54,3.04,AO,1698223201
114,puerto natales,-51.7236,-72.4875,4.3,81,78,3.66,CL,1698223202
115,isafjordur,66.0755,-23.124,0.02,86,0,1.54,IS,1698223204
116,sinabang,2.4803,96.3801,27.27,75,90,2.5,ID,1698223205
117,fisterra,42.9049,-9.2629,18.19,89,100,10.31,ES,1698223206
118,catterick garrison,54.3775,-1.7223,9.36,92,75,2.57,GB,1698223207
119,enschede,52.2183,6.8958,10.59,86,77,1.79,NL,1698223208
120,bredasdorp,-34.5322,20.0403,20.07,54,26,4.22,ZA,1698223210
121,hadibu,12.65,54.0333,28.49,73,72,6.61,YE,1698223211
122,pisco,-13.7,-76.2167,19.03,88,100,1.54,PE,1698223023
123,butha-buthe,-28.8333,28.5,15.5,15,0,2.84,LS,1698223213
124,aasiaat,68.7098,-52.8699,-6.83,77,100,3.24,GL,1698222993
125,kota kinabalu,5.9749,116.0724,31.99,70,20,1.54,MY,1698223215
126,princeton,25.5384,-80.4089,26.11,73,0,4.12,US,1698222802
127,uturoa,-16.7333,-151.4333,26.82,73,73,4.81,PF,1698223043
128,kiunga,-6.1219,141.2906,24.54,66,11,1.08,PG,1698223219
129,moa,20.6569,-74.9403,26.37,80,98,7.09,CU,1698223221
130,northam,51.0333,-4.2167,13.7,93,98,3.52,GB,1698223222
131,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,78,75,2.68,RU,1698223027
132,gaigeturi,33.4644,126.3183,22.03,64,0,2.06,KR,1698223224
133,kudat,6.8837,116.8477,30.96,74,20,3.13,MY,1698223225
134,maroantsetra,-15.4333,49.7333,29.89,58,18,4.0,MG,1698223226
135,spas-demensk,54.4122,34.0226,2.36,75,94,3.71,RU,1698223228
136,preobrazheniye,42.9019,133.9064,12.74,79,7,3.78,RU,1698223229
137,haiku-pauwela,20.9219,-156.3051,23.47,93,40,2.06,US,1698223230
138,pandharpur,17.6667,75.3333,33.28,24,32,4.49,IN,1698223231
139,klaksvik,62.2266,-6.589,9.51,92,95,8.34,FO,1698223232
140,conde,-7.2597,-34.9075,21.7,94,20,1.54,BR,1698223035
141,college,64.8569,-147.8028,-3.82,86,75,0.0,US,1698223234
142,nadi,-17.8,177.4167,25.0,65,75,5.66,FJ,1698223033
143,san patricio,28.017,-97.5169,27.13,83,5,6.25,US,1698223237
144,kristiansund,63.1115,7.732,6.36,75,0,1.54,NO,1698223238
145,port elizabeth,-33.918,25.5701,21.84,58,0,4.12,ZA,1698222998
146,yanai,33.9667,132.1167,21.0,64,13,3.49,JP,1698223240
147,smithers,54.7804,-127.1743,-9.82,79,0,1.03,CA,1698223241
